"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","symbol","entrez","name"
"ENSG00000117519",4483.62709360346,-2.42268491465654,0.061185816142854,-39.5955315689532,0,0,"CNN3","1266","calponin 3"
"ENSG00000183508",2053.88135557663,3.20186242431495,0.0728322428308288,43.9621560433348,0,0,"TENT5C","54855","terminal nucleotidyltransferase 5C"
"ENSG00000159176",5692.46278267679,-2.31371402762991,0.058846462481047,-39.317809942698,0,0,"CSRP1","1465","cysteine and glycine rich protein 1"
"ENSG00000116016",4423.94665216876,-1.88800004041048,0.0442322085410666,-42.6838293334958,0,0,"EPAS1","2034","endothelial PAS domain protein 1"
"ENSG00000164251",2348.7701339719,3.34448138587854,0.0695352929464796,48.097609777135,0,0,"F2RL1","2150","F2R like trypsin receptor 1"
"ENSG00000124766",2576.65254960143,2.39225887592478,0.0622953153736542,38.4019064929,0,0,"SOX4","6659","SRY-box transcription factor 4"
"ENSG00000124762",28106.1191885778,1.83224961912605,0.0405980981815943,45.1314150463511,0,0,"CDKN1A","1026","cyclin dependent kinase inhibitor 1A"
"ENSG00000106366",43719.1260988373,-1.84403446742513,0.0436348715790287,-42.260568226615,0,0,"SERPINE1","5054","serpin family E member 1"
"ENSG00000188153",2944.12640623352,2.26603744670853,0.0560427470901257,40.4340894115054,0,0,"COL4A5","1287","collagen type IV alpha 5 chain"
"ENSG00000122861",28007.1433373973,2.26253451264059,0.0568344535073364,39.8092067929982,0,0,"PLAU","5328","plasminogen activator, urokinase"
"ENSG00000148773",1840.19727265675,-3.19603072857852,0.0760763080259472,-42.0108547787105,0,0,"MKI67","4288","marker of proliferation Ki-67"
"ENSG00000059804",3443.39680712992,2.07977586516386,0.0551609494562965,37.7037720645408,0,0,"SLC2A3","6515","solute carrier family 2 member 3"
"ENSG00000139289",12942.9106281238,2.03731169781242,0.0477921749552755,42.6285620965976,0,0,"PHLDA1","22822","pleckstrin homology like domain family A member 1"
"ENSG00000125257",6050.78726438958,1.95053967503842,0.0448195169047939,43.5198728085752,0,0,"ABCC4","10257","ATP binding cassette subfamily C member 4 (PEL blood group)"
"ENSG00000211448",1884.75741158654,2.52368788575879,0.0656807700102199,38.4235429238437,0,0,"DIO2","1734","iodothyronine deiodinase 2"
"ENSG00000128917",1307.34250385583,3.85826209218669,0.0863875122030398,44.6622664988716,0,0,"DLL4","54567","delta like canonical Notch ligand 4"
"ENSG00000138623",2851.61916336974,-2.40664909571385,0.0588087662944064,-40.9233052716285,0,0,"SEMA7A","8482","semaphorin 7A (JohnMiltonHagen blood group)"
"ENSG00000131747",1743.84285765667,-2.92416489036774,0.069822081691301,-41.880230716926,0,0,"TOP2A","7153","DNA topoisomerase II alpha"
"ENSG00000167601",8245.06804500101,-2.1423263789547,0.041885305402963,-51.1474455860874,0,0,"AXL","558","AXL receptor tyrosine kinase"
"ENSG00000198743",1999.10327890814,2.53446256882574,0.0674819945912247,37.5576119849207,0,0,"SLC5A3","6526","solute carrier family 5 member 3"
"ENSG00000123416",4420.07398793879,-1.93836065139843,0.0516778934216951,-37.5085074691662,6.69307697088735e-308,4.38587772363718e-305,"TUBA1B","10376","tubulin alpha 1b"
"ENSG00000150938",7442.98631416393,-2.05960164852285,0.0552431771164329,-37.2824619442496,3.15772374452091e-304,1.97515620219783e-301,"CRIM1","51232","cysteine rich transmembrane BMP regulator 1"
"ENSG00000136068",3796.1265394147,-1.64977371297152,0.0448807546492181,-36.7590457394473,8.33573166575835e-296,4.98730449793481e-293,"FLNB","2317","filamin B"
"ENSG00000157680",1359.06349386339,2.54494917066795,0.0692472846882501,36.7516095703285,1.09580258721208e-295,6.28305808442725e-293,"DGKI","9162","diacylglycerol kinase iota"
"ENSG00000104081",804.838487338128,4.43411858020089,0.121011242258702,36.6422036286637,6.09055074084925e-294,3.35248274979306e-291,"BMF","90427","Bcl2 modifying factor"
"ENSG00000165434",1243.14971044106,2.51721579274208,0.0691787302570152,36.3871349385864,6.80135574803776e-290,3.59974832495183e-287,"PGM2L1","283209","phosphoglucomutase 2 like 1"
"ENSG00000101825",1024.97040543336,3.28772814062175,0.0904956879330817,36.3302187729973,5.39512838524034e-289,2.74971710034416e-286,"MXRA5","25878","matrix remodeling associated 5"
"ENSG00000117724",1324.17284690485,-2.82509293864561,0.0779809007557383,-36.228011106139,2.20591612612966e-287,1.08412899327394e-284,"CENPF","1063","centromere protein F"
"ENSG00000074416",2392.80973934457,-2.14805033556462,0.05946121099006,-36.125236936794,9.11040226545444e-286,4.32304295085926e-283,"MGLL","11343","monoglyceride lipase"
"ENSG00000181104",14922.5173336984,1.66816046397085,0.0462856818952686,36.040529072153,1.94078911404241e-284,8.90239966611252e-282,"F2R","2149","coagulation factor II thrombin receptor"
"ENSG00000166073",2268.80918089117,-2.20667210738046,0.0613849161087244,-35.9481163657864,5.41626146732276e-283,2.40429593715576e-280,"GPR176","11245","G protein-coupled receptor 176"
"ENSG00000104368",13214.4968037918,2.02764830561997,0.056519268457215,35.875345894735,7.40501556484789e-282,3.18438809962099e-279,"PLAT","5327","plasminogen activator, tissue type"
"ENSG00000115963",13232.3301349766,1.80530836554347,0.0503418203271508,35.861006888736,1.23897646044606e-281,5.16653184006008e-279,"RND3","390","Rho family GTPase 3"
"ENSG00000091527",2814.15907315816,-1.81026621254903,0.0506916733818182,-35.7113129589115,2.63863790925271e-279,1.06794989027137e-276,"CDV3","55573","CDV3 homolog"
"ENSG00000074800",18390.4756149844,-1.33891742125825,0.0375732918341108,-35.6348181354373,4.0496221206905e-278,1.59219571436634e-275,"ENO1","2023","enolase 1"
